"";"x"
"418";"Agave sisalana_Jemo"
"419";"Agave sisalana_Kwajalein"
"420";"Agave sisalana_Likiep"
"421";"Agave sisalana_Pagan"
"422";"Agave sisalana_Rota"
"423";"Agave sisalana_Rota"
"424";"Agave sisalana_Viti Levu"
"425";"Agave sisalana_Viti Levu"
"426";"Agave sisalana_Viti Levu"
"427";"Agave sisalana_Viti Levu"
"428";"Ageratina adenophora_Lord Howe"
"429";"Ageratina riparia_Kaua'i"
"430";"Ageratina riparia_Lana'i"
"431";"Ageratina riparia_Norfolk"
"432";"Ageratum conyzoides_Isabela"
"433";"Ageratum conyzoides_Babeldaob"
"434";"Ageratum conyzoides_Babeldaob"
"435";"Ageratum conyzoides_Babeldaob"
"436";"Ageratum conyzoides_Hatuta'a"
"437";"Ageratum conyzoides_Hiva Oa"
"438";"Ageratum conyzoides_Jaluit"
"439";"Ageratum conyzoides_Koror"
"440";"Ageratum conyzoides_Koror"
"441";"Ageratum conyzoides_Koror"
"442";"Ageratum conyzoides_Koror"
"443";"Ageratum conyzoides_Kosrae"
"444";"Ageratum conyzoides_Mopelia"
"445";"Ageratum conyzoides_Nuku Hiva"
"446";"Ageratum conyzoides_Olosega"
"447";"Ageratum conyzoides_Olosega"
"448";"Ageratum conyzoides_Pohnpei"
"449";"Ageratum conyzoides_Pohnpei"
"450";"Ageratum conyzoides_Pohnpei"
"451";"Ageratum conyzoides_Pohnpei"
"452";"Ageratum conyzoides_Pohnpei"
"453";"Ageratum conyzoides_Pohnpei"
"454";"Ageratum conyzoides_Pohnpei"
"455";"Ageratum conyzoides_Pohnpei"
"456";"Ageratum houstonianum_Maui"
"457";"Ageratum houstonianum_Raoul"
"458";"Aglaonema commutatum_O'ahu"
"459";"Agonis flexuosa_O'ahu"
"460";"Aira caryophyllea_Kaua'i"
"461";"Aira caryophyllea_O'ahu"
"462";"Albizia chinensis_Grande Terre"
"463";"Albizia chinensis_Hawai'i"
"464";"Albizia chinensis_Tahiti"
"465";"Albizia chinensis_Tahiti"
"466";"Albizia chinensis_Upolu"
"467";"Albizia chinensis_Upolu"
"468";"Albizia chinensis_Upolu"
"469";"Albizia chinensis_Upolu"
"470";"Albizia chinensis_Upolu"
"471";"Albizia lebbeck_Fatu Hiva"
"472";"Albizia lebbeck_Fatu Hiva"
"473";"Albizia lebbeck_Grande Terre"
"474";"Albizia lebbeck_Grande Terre"
"475";"Albizia lebbeck_Guam"
"476";"Albizia lebbeck_Guam"
"477";"Albizia lebbeck_Guam"
"478";"Albizia lebbeck_Guam"
"479";"Albizia lebbeck_Guam"
"480";"Albizia lebbeck_Guam"
"481";"Albizia lebbeck_Maui"
"482";"Albizia lebbeck_Moloka'i"
"483";"Albizia lebbeck_Nuku Hiva"
"484";"Albizia lebbeck_Pohnpei"
"485";"Albizia lebbeck_Raivavae"
"486";"Albizia lebbeck_Rarotonga"
"487";"Albizia lebbeck_Rarotonga"
"488";"Albizia lebbeck_Rota"
"489";"Albizia lebbeck_Rota"
"490";"Albizia lebbeck_Rota"
"491";"Albizia lebbeck_Rota"
"492";"Albizia lebbeck_Rota"
"493";"Albizia lebbeck_Rota"
"494";"Albizia lebbeck_Saipan"
"495";"Albizia lebbeck_Saipan"
"496";"Albizia lebbeck_Taha'a"
"497";"Albizia lebbeck_Tahiti"
"498";"Albizia lebbeck_Tahiti"
"499";"Albizia lebbeck_Tahiti"
"500";"Albizia lebbeck_Taveuni"
"501";"Albizia lebbeck_Tinian"
"502";"Albizia lebbeck_Tinian"
"503";"Albizia lebbeck_Tinian"
"504";"Albizia lebbeck_Tongatapu"
"505";"Albizia lebbeck_Ua Huka"
"506";"Albizia lebbeck_Vanua Levu"
"507";"Albizia lebbeck_Viti Levu"
"508";"Albizia lebbeck_Viti Levu"
"509";"Albizia lebbeck_Viti Levu"
"510";"Albizia lebbeck_Viti Levu"
"511";"Albizia lebbeck_Weno"
"512";"Albizia lebbeck_Yap"
"513";"Albizia niopoides_O'ahu"
"514";"Albizia niopoides_O'ahu"
"515";"Albizia saponaria_Kaua'i"
"516";"Albizia saponaria_O'ahu"
"517";"Aleurites moluccanus_Eua"
"518";"Aleurites moluccanus_Eua"
"519";"Aleurites moluccanus_Eua"
"520";"Aleurites moluccanus_Aitutaki"
"521";"Aleurites moluccanus_Akamaru"
"522";"Aleurites moluccanus_Akamaru"
"523";"Aleurites moluccanus_Aukena"
"524";"Aleurites moluccanus_Bora Bora"
"525";"Aleurites moluccanus_Eiao"
"526";"Aleurites moluccanus_Fatu Hiva"
"527";"Aleurites moluccanus_NA"
"528";"Aleurites moluccanus_Futuna"
"529";"Aleurites moluccanus_Futuna"
"530";"Aleurites moluccanus_Futuna"
"531";"Aleurites moluccanus_Grande Terre"
"532";"Aleurites moluccanus_Guam"
"533";"Aleurites moluccanus_Guam"
"534";"Aleurites moluccanus_Guam"
"535";"Aleurites moluccanus_Guam"
"536";"Aleurites moluccanus_Guam"
"537";"Aleurites moluccanus_Guam"
"538";"Aleurites moluccanus_Henderson"
"539";"Aleurites moluccanus_Hiva Oa"
"540";"Aleurites moluccanus_Hiva Oa"
"541";"Aleurites moluccanus_Hiva Oa"
"542";"Aleurites moluccanus_Hiva Oa"
"543";"Aleurites moluccanus_Hiva Oa"
"544";"Aleurites moluccanus_Huahine"
"545";"Aleurites moluccanus_Johnston"
"546";"Aleurites moluccanus_Kadavu"
"547";"Aleurites moluccanus_Kao"
"548";"Aleurites moluccanus_Koro"
"549";"Aleurites moluccanus_Lifuka"
"550";"Aleurites moluccanus_Mangaia"
"551";"Aleurites moluccanus_Mangareva"
"552";"Aleurites moluccanus_Mangareva"
"553";"Aleurites moluccanus_Mangareva"
"554";"Aleurites moluccanus_Mangareva"
"555";"Aleurites moluccanus_Mangareva"
"556";"Aleurites moluccanus_Mangareva"
"557";"Aleurites moluccanus_Mangareva"
"558";"Aleurites moluccanus_Mehetia"
"559";"Aleurites moluccanus_Mehetia"
"560";"Aleurites moluccanus_Mehetia"
"561";"Aleurites moluccanus_Mohotani"
"562";"Aleurites moluccanus_Mohotani"
"563";"Aleurites moluccanus_Moorea"
"564";"Aleurites moluccanus_Moorea"
"565";"Aleurites moluccanus_Moorea"
"566";"Aleurites moluccanus_Moorea"
"567";"Aleurites moluccanus_Moorea"
"568";"Aleurites moluccanus_Moorea"
"569";"Aleurites moluccanus_Moorea"
"570";"Aleurites moluccanus_Moorea"
"571";"Aleurites moluccanus_Gau"
"572";"Aleurites moluccanus_Gau"
"573";"Aleurites moluccanus_Niuatoputapu"
"574";"Aleurites moluccanus_Niue"
"575";"Aleurites moluccanus_Nuku Hiva"
"576";"Aleurites moluccanus_Nuku Hiva"
"577";"Aleurites moluccanus_Nuku Hiva"
"578";"Aleurites moluccanus_Nuku Hiva"
"579";"Aleurites moluccanus_Nuku Hiva"
"580";"Aleurites moluccanus_Nuku Hiva"
"581";"Aleurites moluccanus_Nuku Hiva"
"582";"Aleurites moluccanus_Ofu"
"583";"Aleurites moluccanus_Olosega"
"584";"Aleurites moluccanus_Ovalau"
"585";"Aleurites moluccanus_Ovalau"
"586";"Aleurites moluccanus_Pitcairn"
"587";"Aleurites moluccanus_Pitcairn"
"588";"Aleurites moluccanus_Pitcairn"
"589";"Aleurites moluccanus_Pohnpei"
"590";"Aleurites moluccanus_Pohnpei"
"591";"Aleurites moluccanus_Pohnpei"
"592";"Aleurites moluccanus_Pohnpei"
"593";"Aleurites moluccanus_Pohnpei"
"594";"Aleurites moluccanus_Raiatea"
"595";"Aleurites moluccanus_Raivavae"
"596";"Aleurites moluccanus_Raivavae"
"597";"Aleurites moluccanus_Raivavae"
"598";"Aleurites moluccanus_Raivavae"
"599";"Aleurites moluccanus_Rapa"
"600";"Aleurites moluccanus_Rapa"
"601";"Aleurites moluccanus_Rapa"
"602";"Aleurites moluccanus_Rapa"
"603";"Aleurites moluccanus_Rapa"
"604";"Aleurites moluccanus_Rapa"
"605";"Aleurites moluccanus_Rapa"
"606";"Aleurites moluccanus_Rarotonga"
"607";"Aleurites moluccanus_Rimatara"
"608";"Aleurites moluccanus_Rimatara"
"609";"Aleurites moluccanus_Rurutu"
"610";"Aleurites moluccanus_Rurutu"
"611";"Aleurites moluccanus_Rurutu"
"612";"Aleurites moluccanus_Rurutu"
"613";"Aleurites moluccanus_Rurutu"
"614";"Aleurites moluccanus_Rurutu"
"615";"Aleurites moluccanus_Rurutu"
"616";"Aleurites moluccanus_Rurutu"
"617";"Aleurites moluccanus_Rurutu"
"618";"Aleurites moluccanus_Savai'i"
"619";"Aleurites moluccanus_Savai'i"
"620";"Aleurites moluccanus_Savai'i"
"621";"Aleurites moluccanus_Savai'i"
"622";"Aleurites moluccanus_Ta'u"
"623";"Aleurites moluccanus_Ta'u"
"624";"Aleurites moluccanus_Taha'a"
"625";"Aleurites moluccanus_Taha'a"
"626";"Aleurites moluccanus_Tahiti"
"627";"Aleurites moluccanus_Tahiti"
"628";"Aleurites moluccanus_Tahiti"
"629";"Aleurites moluccanus_Tahiti"
"630";"Aleurites moluccanus_Tahiti"
"631";"Aleurites moluccanus_Tahiti"
"632";"Aleurites moluccanus_Tahiti"
"633";"Aleurites moluccanus_Tahuata"
"634";"Aleurites moluccanus_Tahuata"
"635";"Aleurites moluccanus_Taveuni"
"636";"Aleurites moluccanus_Tongatapu"
"637";"Aleurites moluccanus_Tongatapu"
"638";"Aleurites moluccanus_Tubuai"
"639";"Aleurites moluccanus_Tubuai"
"640";"Aleurites moluccanus_Tubuai"
"641";"Aleurites moluccanus_Tutuila"
"642";"Aleurites moluccanus_Ua Huka"
"643";"Aleurites moluccanus_Ua Huka"
"644";"Aleurites moluccanus_Ua Pou"
"645";"Aleurites moluccanus_Upolu"
"646";"Aleurites moluccanus_Upolu"
"647";"Aleurites moluccanus_Upolu"
"648";"Aleurites moluccanus_Vava'u"
"649";"Aleurites moluccanus_Viti Levu"
"650";"Aleurites moluccanus_Viti Levu"
"651";"Aleurites moluccanus_Viti Levu"
"652";"Aleurites moluccanus_Viti Levu"
"653";"Aleurites moluccanus_Viti Levu"
"654";"Aleurites moluccanus_Viti Levu"
"655";"Aleurites moluccanus_Viti Levu"
"656";"Aleurites moluccanus_Viti Levu"
"657";"Aleurites moluccanus_Viti Levu"
"658";"Aleurites moluccanus_Viti Levu"
"659";"Aleurites moluccanus_Yap"
